Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Annualised,973 B,"1,164 B","2,209 B","4,409 B","4,015 B","2,118 B",(520 B),107 B,933 B,75 B,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,TTM (Q1),"1,055 B","1,164 B","2,209 B","4,409 B","4,015 B","2,118 B",(520 B),107 B,933 B,75 B,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div (TTM),97.00,97.00,153.00,295.00,400.00,267.00,-,13.17,36.32,-,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Payout Ratio,27.45%,22.95%,19.07%,18.42%,27.43%,34.70%,-,33.92%,10.71%,-,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div Yield,3.39%,2.94%,4.64%,7.78%,11.90%,8.14%,-,0.94%,1.86%,-,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Q1,164 B,142 B,205 B,158 B,153 B,162 B,246 B,237 B,209 B,154 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Q2,-,151 B,161 B,144 B,89 B,115 B,114 B,237 B,217 B,174 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Q3,-,188 B,208 B,183 B,109 B,46 B,170 B,253 B,271 B,198 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Q4,-,188 B,318 B,285 B,313 B,368 B,203 B,290 B,267 B,251 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Annualised,654 B,669 B,892 B,770 B,664 B,691 B,733 B,"1,017 B",965 B,778 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,TTM (Q1),691 B,669 B,892 B,770 B,664 B,691 B,733 B,"1,017 B",965 B,778 B,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Div (TTM),33.87,33.87,33.87,33.50,31.06,20.59,32.15,18.10,28.25,22.81,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Payout Ratio,88.65%,86.71%,65.00%,74.45%,80.04%,51.03%,75.07%,30.46%,50.14%,50.21%,-,-,-,-,-,-,-,-
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Div Yield,8.76%,6.58%,6.58%,3.90%,4.74%,2.42%,2.30%,1.11%,1.68%,1.85%,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Q1,2 B,3 B,3 B,1 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Q2,-,1 B,2 B,3 B,2 B,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Q3,-,4 B,4 B,4 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Q4,-,2 B,715 M,(3 B),754 M,2 B,3 B,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Annualised,7 B,10 B,9 B,5 B,2 B,2 B,3 B,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,TTM (Q1),8 B,10 B,9 B,5 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Div (TTM),22.61,22.61,20.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Payout Ratio,"1,157.23%",782.72%,772.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Div Yield,31.51%,21.53%,19.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q1,(8 B),(4 B),(42 B),(30 B),(25 B),(80 B),(124 B),(91 B),39 B,31 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q2,-,(28 B),(93 B),(25 B),(89 B),(73 B),(128 B),(314 B),35 B,34 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q3,-,(73 B),(150 B),(96 B),(113 B),(233 B),(501 B),(348 B),18 B,47 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q4,-,(590 B),(261 B),(119 B),(222 B),(310 B),(570 B),(384 B),(73 B),43 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Annualised,(32 B),(695 B),(547 B),(270 B),(449 B),(696 B),"(1,323 B)","(1,136 B)",18 B,154 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,TTM (Q1),(699 B),(695 B),(547 B),(270 B),(449 B),(696 B),"(1,323 B)","(1,136 B)",18 B,154 B,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Div (TTM),-,-,-,-,-,-,-,-,5.00,88.00,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Payout Ratio,-,-,-,-,-,-,-,-,483.32%,723.14%,-,-,-,-,-,-,-,-
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Div Yield,-,-,-,-,-,-,-,-,0.56%,5.87%,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q1,(26 B),16 M,7 B,16 B,17 B,6 B,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q2,-,16 M,10 B,5 B,20 B,28 B,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q3,-,(5 B),13 B,6 B,14 B,13 B,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q4,-,"(2,102 B)",13 B,90 B,53 B,84 B,133 B,150 B,65 B,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Annualised,(104 B),"(2,107 B)",43 B,116 B,105 B,130 B,133 B,150 B,65 B,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,TTM (Q1),"(2,133 B)","(2,107 B)",43 B,116 B,105 B,130 B,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div (TTM),-,-,-,-,-,1.17,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Payout Ratio,-,-,-,-,-,19.94%,-,-,-,-,-,-,-,-,-,-,-,-
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div Yield,-,-,-,-,-,1.56%,-,-,-,-,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Q1,256 B,146 B,131 B,89 B,76 B,47 B,21 B,17 B,14 B,11 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Q2,-,170 B,103 B,96 B,81 B,42 B,19 B,13 B,8 B,2 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Q3,-,172 B,116 B,107 B,84 B,53 B,34 B,16 B,14 B,10 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Q4,-,253 B,177 B,104 B,124 B,123 B,61 B,37 B,17 B,15 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Annualised,"1,022 B",742 B,527 B,396 B,365 B,266 B,136 B,84 B,53 B,38 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,TTM (Q1),851 B,742 B,527 B,396 B,365 B,266 B,136 B,84 B,53 B,38 B,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q1,154 B,317 M,10 B,8 B,9 B,7 B,15 B,76 B,73 B,19 B,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q2,-,7 B,4 B,4 B,2 B,2 B,(3 B),139 B,139 B,112 B,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q3,-,(3 B),56 B,11 B,11 B,9 B,4 B,136 B,123 B,74 B,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Q4,-,"(5,407 B)",(156 B),190 B,60 B,38 B,9 B,313 B,309 B,310 B,-,-,-,-,-,-,-,-
