province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Kepulauan Bangka-Belitung,PERTAMBANGAN,93828770000000.0,2025,1 Proyek,Rp 49.340.520.000.000,"PMA (US$ Ribu) : 1.287.734,13 | PMDN (Rp Juta) : 56.299.771,49",1 Kawasan
Kepulauan Bangka-Belitung,PERINDUSTRIAN,165583339000000.0,2025,1 Proyek,Rp 49.340.520.000.000,"PMA (US$ Ribu) : 1.287.734,13 | PMDN (Rp Juta) : 56.299.771,49",1 Kawasan
Kepulauan Riau,KONSTRUKSI,4725103000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PERTANIAN,34532000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PERIKANAN,10266634000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PERINDUSTRIAN,165583339000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PERDAGANGAN,17749000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,ENERGI,22543058000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,PARIWISATA,2361177000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
Kepulauan Riau,KEUANGAN,260353000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 12.473.387,9 | PMDN (Rp Juta) : 60.739.510,8",26 Kawasan
DKI Jakarta,PENGANGKUTAN,3183856000000.0,2025,32 Proyek,,"PMA (US$ Ribu) : 60.882.118 | PMDN (Rp Juta) : 589.125.010,3",2 Kawasan
DKI Jakarta,PARIWISATA,2361177000000.0,2025,32 Proyek,,"PMA (US$ Ribu) : 60.882.118 | PMDN (Rp Juta) : 589.125.010,3",2 Kawasan
DKI Jakarta,KONSTRUKSI,4725103000000.0,2025,32 Proyek,,"PMA (US$ Ribu) : 60.882.118 | PMDN (Rp Juta) : 589.125.010,3",2 Kawasan
DKI Jakarta,PERIKANAN,10266634000000.0,2025,32 Proyek,,"PMA (US$ Ribu) : 60.882.118 | PMDN (Rp Juta) : 589.125.010,3",2 Kawasan
Jawa Barat,PERTANIAN,34532000000000.0,2025,5 Proyek,,"PMA (US$ Ribu) : 80.453.543,2 | PMDN (Rp Juta) : 605.821.560,4",42 Kawasan
Jawa Barat,PENGANGKUTAN,3183856000000.0,2025,5 Proyek,,"PMA (US$ Ribu) : 80.453.543,2 | PMDN (Rp Juta) : 605.821.560,4",42 Kawasan
Jawa Barat,ENERGI,22543058000000.0,2025,5 Proyek,,"PMA (US$ Ribu) : 80.453.543,2 | PMDN (Rp Juta) : 605.821.560,4",42 Kawasan
Jawa Barat,PERINDUSTRIAN,165583339000000.0,2025,5 Proyek,,"PMA (US$ Ribu) : 80.453.543,2 | PMDN (Rp Juta) : 605.821.560,4",42 Kawasan
