bkpm_sector,Year,NetIncome
PARIWISATA,2025,2361177000000.0
PARIWISATA,2026,619744000000.0
PENGANGKUTAN,2016,-185000000000.0
PENGANGKUTAN,2017,902431000000.0
PENGANGKUTAN,2018,3110677000000.0
PENGANGKUTAN,2019,2984617000000.0
PENGANGKUTAN,2020,-42337140000000.0
PENGANGKUTAN,2021,-58313208000000.0
PENGANGKUTAN,2022,64177472000000.0
PENGANGKUTAN,2023,15441338000000.0
PENGANGKUTAN,2024,8017487000000.0
PENGANGKUTAN,2025,3183856000000.0
PENGANGKUTAN,2026,4503049000000.0
PERDAGANGAN,2012,-21000000000.0
PERDAGANGAN,2013,-37000000000.0
PERDAGANGAN,2014,-23000000000.0
PERDAGANGAN,2015,-8000000000.0
PERDAGANGAN,2016,1521000000000.0
PERDAGANGAN,2017,6961122000000.0
PERDAGANGAN,2018,9408829000000.0
PERDAGANGAN,2019,5172808000000.0
PERDAGANGAN,2020,-2464007000000.0
PERDAGANGAN,2021,9709607000000.0
PERDAGANGAN,2022,15165295000000.0
PERDAGANGAN,2023,9459756000000.0
PERDAGANGAN,2024,18816058000000.0
PERDAGANGAN,2025,17749000000000.0
PERDAGANGAN,2026,24519357000000.0
PERIKANAN,2016,2065000000000.0
PERIKANAN,2017,666000000000.0
PERIKANAN,2018,8842000000000.0
PERIKANAN,2019,5097653000000.0
PERIKANAN,2020,4901882000000.0
PERIKANAN,2021,8396175000000.0
PERIKANAN,2022,4259983000000.0
PERIKANAN,2023,2515345000000.0
PERIKANAN,2024,6882901000000.0
PERIKANAN,2025,10266634000000.0
PERIKANAN,2026,11257000000000.0
PERINDUSTRIAN,2013,-4000000000.0
PERINDUSTRIAN,2014,-150000000000.0
PERINDUSTRIAN,2015,387417000000.0
PERINDUSTRIAN,2016,22894645000000.0
PERINDUSTRIAN,2017,97460743000000.0
PERINDUSTRIAN,2018,83205400000000.0
PERINDUSTRIAN,2019,86662499000000.0
PERINDUSTRIAN,2020,82551656000000.0
PERINDUSTRIAN,2021,88606249000000.0
PERINDUSTRIAN,2022,71999204000000.0
PERINDUSTRIAN,2023,33781444000000.0
PERINDUSTRIAN,2024,107893803000000.0
PERINDUSTRIAN,2025,165583339000000.0
PERINDUSTRIAN,2026,135399273000000.0
PERTAMBANGAN,2009,-2000000000.0
PERTAMBANGAN,2010,2000000000.0
PERTAMBANGAN,2011,112000000000.0
PERTAMBANGAN,2012,-296000000000.0
PERTAMBANGAN,2013,414000000000.0
PERTAMBANGAN,2014,-368000000000.0
PERTAMBANGAN,2015,-1440000000000.0
PERTAMBANGAN,2016,-3787000000000.0
PERTAMBANGAN,2017,32447448000000.0
PERTAMBANGAN,2018,33829363000000.0
PERTAMBANGAN,2019,14586296000000.0
PERTAMBANGAN,2020,7698769000000.0
PERTAMBANGAN,2021,97112780000000.0
PERTAMBANGAN,2022,234458329000000.0
PERTAMBANGAN,2023,135673000000000.0
PERTAMBANGAN,2024,131842701000000.0
PERTAMBANGAN,2025,93828770000000.0
PERTAMBANGAN,2026,91674000000000.0
PERTANIAN,2010,-487000000000.0
PERTANIAN,2011,-19000000000.0
PERTANIAN,2012,37000000000.0
PERTANIAN,2013,-23753000000.0
PERTANIAN,2014,-38000000000.0
PERTANIAN,2015,-266000000000.0
PERTANIAN,2016,482802000000.0
PERTANIAN,2017,11193597000000.0
PERTANIAN,2018,12705000000000.0
PERTANIAN,2019,103940000000.0
PERTANIAN,2020,8928380000000.0
PERTANIAN,2021,25598880000000.0
PERTANIAN,2022,41366000000000.0
PERTANIAN,2023,19016234000000.0
PERTANIAN,2024,27403719000000.0
PERTANIAN,2025,34532000000000.0
PERTANIAN,2026,36718000000000.0
